index,sample,robustness_spec,shock,horizon,control_set,return_lags,shock_std,response_1sd_tightening,response_1sd_easing,asymmetry_pvalue,nobs
ftse250,pre_super_thursday,allshare_controls,qe,20,ftse_all_share,5,0.008596139514184975,0.0009339220518357792,0.003653318856831165,0.2619229113804076,1621
ftse250,pre_super_thursday,allshare_controls,target,0,ftse_all_share,5,0.012999276088669019,-0.00019488438299317598,9.744544109102658e-05,0.6064953624913432,4590
ftse250,pre_super_thursday,allshare_controls,target,5,ftse_all_share,5,0.012999276088669019,-0.00022174240198376792,-0.0011813968053860082,0.2695196698904374,4590
ftse250,pre_super_thursday,allshare_controls,target,10,ftse_all_share,5,0.012999276088669019,-0.0012058081678226154,-0.0025953244128896938,0.06328521248310949,4590
ftse250,pre_super_thursday,allshare_controls,target,20,ftse_all_share,5,0.012999276088669019,-0.0008581623212887749,-0.0024919265961823632,0.1741433544542481,4590
ftse250,pre_super_thursday,dual_controls,path,0,ftse100+ftse_all_share,5,0.00792189879874463,-0.00010207758127695767,-6.223536847640691e-06,0.24942904764793727,4590
ftse250,pre_super_thursday,dual_controls,path,5,ftse100+ftse_all_share,5,0.00792189879874463,-0.0004501591543960743,7.535450105679492e-06,0.7391673773362858,4590
ftse250,pre_super_thursday,dual_controls,path,10,ftse100+ftse_all_share,5,0.00792189879874463,-0.00037763163288280716,0.0006026434067215639,0.9146854071782309,4590
ftse250,pre_super_thursday,dual_controls,path,20,ftse100+ftse_all_share,5,0.00792189879874463,-0.000426422633920505,0.0013099910211506025,0.7548508827299791,4590
ftse250,pre_super_thursday,dual_controls,qe,0,ftse100+ftse_all_share,5,0.008596139514184975,3.598706241525131e-05,-3.4904222807317575e-05,0.989112839830937,1621
ftse250,pre_super_thursday,dual_controls,qe,5,ftse100+ftse_all_share,5,0.008596139514184975,-0.0010251645832030161,0.00047142793180905847,0.8191711383460606,1621
