index,sample,robustness_spec,v4_specification,shock,regime,regime_label,horizon,beta_pos,se_pos,pvalue_pos,ci_lower_pos,ci_upper_pos,beta_neg,se_neg,pvalue_neg,ci_lower_neg,ci_upper_neg,nobs,r_squared,return_lags,control_set
ftse250,full,dual_controls,regime_interactions,path,covid_period,COVID onward,11,0.18587803709228784,0.38911503949120585,0.6328678006140396,-0.5767874403104756,0.9485435144950514,-0.1420610466809874,0.34719732743063264,0.6824184673781244,-0.8225678084450274,0.5384457150830526,7258,0.09189213844200905,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,qt_period,QT onward,11,-1.573382540110057,0.34817318754143317,6.21425882757823e-06,-2.255801987691266,-0.890963092528848,0.37880358764738076,0.30051556045820854,0.20748458078253773,-0.21020691085070797,0.9678140861454695,7258,0.09189213844200905,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,baseline,Baseline,12,-0.4023835584930101,0.16239920503015184,0.013221619369442385,-0.7206860003521077,-0.08408111663391249,0.06488655246909086,0.1601535887913601,0.6853657593527915,-0.24901448156197492,0.37878758650015665,7257,0.09047203459954456,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,post_qe,Post QE,12,0.23378331850552359,0.3059190460933131,0.4447480987469672,-0.36581801183737006,0.8333846488484172,-0.27096338788678237,0.192797334755022,0.15989309701484433,-0.6488461640066254,0.10691938823306074,7257,0.09047203459954456,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,post_super_thursday,Post Super Thursday,12,-0.08724478869961583,0.4107718983816481,0.8318009916511508,-0.8923577095276461,0.7178681321284145,0.31031217641287734,0.3467265146162964,0.3707995055827822,-0.36927179223506357,0.9898961450608182,7257,0.09047203459954456,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,covid_period,COVID onward,12,0.598886888894996,0.4111153750607886,0.1451890521199958,-0.20689924622414968,1.4046730240141416,-0.10261018841914038,0.3497273547751877,0.7692160265652874,-0.7880758037785083,0.5828554269402275,7257,0.09047203459954456,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,qt_period,QT onward,12,-2.1377052189934775,0.3846017693618332,2.7252360639922377e-08,-2.8915246869426707,-1.3838857510442844,0.3087485668500253,0.28963730671990623,0.2864311367960142,-0.25894055432099095,0.8764376880210415,7257,0.09047203459954456,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,baseline,Baseline,13,-0.40351437382701755,0.16782389460177072,0.016199406774204995,-0.7324492072464881,-0.07457954040754694,0.0779323683593824,0.17882109146630673,0.6629731737892457,-0.2725569709145788,0.4284217076333436,7256,0.08349922880153404,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,post_qe,Post QE,13,0.35025722980834056,0.29645439194979833,0.23740902064075153,-0.23079337841326414,0.9313078380299453,-0.21232601134964685,0.17524648624731448,0.22567128517355983,-0.5558091243943832,0.13115710169508954,7256,0.08349922880153404,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,post_super_thursday,Post Super Thursday,13,-0.1486847371086666,0.4065146694562806,0.7145479671063544,-0.9454534892429766,0.6480840150256434,0.4263638237013518,0.3468155854568699,0.21893403418487767,-0.25339472379411326,1.106122371196817,7256,0.08349922880153404,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,covid_period,COVID onward,13,0.9794710714380357,0.4356335915600889,0.024551791422218056,0.12562923198026144,1.83331291089581,-0.19525094256458053,0.3757020101761642,0.6032752699181645,-0.9316268825098624,0.5411249973807013,7256,0.08349922880153404,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,qt_period,QT onward,13,-2.6397498693410237,0.40649317457510314,8.360970250397046e-11,-3.436476491508226,-1.8430232471738215,0.333721319925533,0.32327799917687394,0.30192951305022886,-0.2999035584611399,0.9673461983122059,7256,0.08349922880153404,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,baseline,Baseline,14,-0.38353495952564154,0.17404779214521826,0.027551175065320274,-0.7246686321302693,-0.04240128692101375,0.0892751842056226,0.17687654241167644,0.613747347487158,-0.25740283892126326,0.4359532073325084,7255,0.08019859014443775,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,post_qe,Post QE,14,0.36234636107265983,0.3206203259422572,0.2584165724088897,-0.26606947777416423,0.9907621999194839,-0.24631182683981795,0.1605342526628507,0.12494955045237612,-0.5609589620590053,0.06833530837936941,7255,0.08019859014443775,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,post_super_thursday,Post Super Thursday,14,-0.19685565172807917,0.4157462103722239,0.6358568078847202,-1.011718224057638,0.6180069206014797,0.3324512358481559,0.3352978041082694,0.3214364515756708,-0.32473246020405216,0.9896349319003639,7255,0.08019859014443775,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,covid_period,COVID onward,14,1.2022584910553227,0.41552634385156867,0.003811698996634998,0.3878268571062481,2.016690125004397,0.05295403636936563,0.3448069572721264,0.8779441460244213,-0.6228675998840021,0.7287756726227335,7255,0.08019859014443775,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,qt_period,QT onward,14,-2.756936894855592,0.4091228789214851,1.598622598595237e-11,-3.5588177375417027,-1.955056052169481,0.2124704276116569,0.28523343548487096,0.4563320871408594,-0.34658710593869013,0.771527961162004,7255,0.08019859014443775,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,baseline,Baseline,15,-0.3246065928560294,0.17380266643679998,0.06180762784365015,-0.6652598190721574,0.016046633360098594,0.049804754881843764,0.15736099578914475,0.7516230265459246,-0.25862279686487993,0.3582323066285675,7254,0.0776066937627895,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,post_qe,Post QE,15,0.44158489452373134,0.3274448789805583,0.17747261527048153,-0.20020706827816287,1.0833768573256255,-0.2854981600647814,0.1651732612500094,0.08390276604755206,-0.6092377521147998,0.038241431985236995,7254,0.0776066937627895,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,post_super_thursday,Post Super Thursday,15,-0.23314599330021882,0.4043656534073703,0.5642284852750072,-1.0257026739786645,0.559410687378227,0.23868345032202462,0.3192591528831574,0.45469143407289103,-0.38706448932896387,0.8644313899730132,7254,0.0776066937627895,5,ftse100+ftse_all_share
