index,sample,robustness_spec,shock,horizon,beta_tightening,se_tightening,pvalue_tightening,ci_lower_tightening,ci_upper_tightening,beta_easing,se_easing,pvalue_easing,ci_lower_easing,ci_upper_easing,asymmetry_test_stat,asymmetry_pvalue,nobs,r_squared,return_lags,control_set
ftse250,full,lag10,path,1,-0.022750881151643473,0.04922443406404915,0.6439474049497489,-0.11923077191717982,0.07372900961389287,0.027202009325821685,0.04513060860599318,0.5466818692218256,-0.06125398354192495,0.11565800219356832,-0.8447955214836652,0.3982250155378565,7267,0.01158103635750618,10,own_lags_only
ftse250,full,lag10,path,2,-0.04352743249672449,0.054255974326278246,0.42240220734325773,-0.14986914217622985,0.06281427718278088,0.004337810316575795,0.05914966285158862,0.9415386017938073,-0.1115955288725379,0.12027114950568948,-0.6898782258890982,0.49027076983672113,7266,0.006646707936832197,10,own_lags_only
ftse250,full,lag10,path,3,0.020375260927488623,0.06552110571069933,0.7558215406511348,-0.10804610626548206,0.1487966281204593,0.05578394681961325,0.06231228630889921,0.3706631324184303,-0.0663481343458292,0.1779160279850557,-0.4100600164888731,0.6817619221912095,7265,0.006392699507801969,10,own_lags_only
ftse250,full,lag10,path,4,0.03399332571581096,0.07630966824037223,0.6559833751706592,-0.11557362403531862,0.18356027546694054,0.07714793754720195,0.07095148064414765,0.27688935045614405,-0.06191696451532744,0.21621283960973134,-0.39865034463550963,0.6901508603984884,7264,0.006168448103711199,10,own_lags_only
ftse250,full,lag10,path,5,0.0493598565756129,0.09116858038423,0.5882229339079613,-0.1293305609774779,0.22805027412870368,0.06481941433432445,0.09099121029688158,0.47623564779426875,-0.11352335784756343,0.24316218651621233,-0.11762023249140163,0.9063685730165748,7263,0.005967683084875164,10,own_lags_only
ftse250,full,lag10,path,6,0.03416256614801314,0.08761928409297962,0.6966121204132272,-0.1375712306742269,0.20589636297025318,0.016491977813302194,0.10291313753591798,0.8726830148232909,-0.18521777175709703,0.21820172738370142,0.14318716467222806,0.8861423664743386,7262,0.006006161150024503,10,own_lags_only
ftse250,full,lag10,path,7,-0.004910429543828365,0.10006132986934295,0.9608601654023807,-0.20103063608774055,0.19120977700008382,0.034684658405582054,0.11171174609903893,0.7561932745082214,-0.18427036394853424,0.25363968075969834,-0.3096371021486586,0.7568369385277055,7261,0.006193913357787961,10,own_lags_only
ftse250,full,lag10,path,8,0.04263208887953124,0.10269913646348662,0.6780567437515197,-0.15865821858890253,0.243922396347965,0.08105493231203417,0.11248005318800605,0.47114577243314604,-0.13940597193645768,0.30151583656052605,-0.29284864539684835,0.7696378437244425,7260,0.006315881022758596,10,own_lags_only
ftse250,full,lag10,path,9,0.03597335952269338,0.1040891889320308,0.7296423651539992,-0.168041450784087,0.23998816982947374,0.10439179174519884,0.11688003214792413,0.3717750585628278,-0.12469307126473243,0.3334766547551301,-0.5453924406203834,0.585483638419118,7259,0.006312447169560587,10,own_lags_only
ftse250,full,lag10,path,10,-0.017981353078369802,0.10861029906276884,0.8685044457822682,-0.23085753924139674,0.1948948330846571,0.13430454857786334,0.1250381401627676,0.28277398579913393,-0.11077020614116115,0.37937930329688785,-1.14454179435832,0.25239901539568155,7258,0.00641450041348357,10,own_lags_only
ftse250,full,lag10,path,11,-0.04299939991292091,0.11088753780066363,0.6981826483195095,-0.2603389740022216,0.17434017417637981,0.1421298199859559,0.1368788411581991,0.2991014426121893,-0.12615270868411435,0.41041234865602616,-1.3611984535516073,0.17345098276234028,7257,0.0067006509658211755,10,own_lags_only
ftse250,full,lag10,path,12,-0.07322078513392422,0.11962997352363755,0.5404977096764876,-0.3076955332402538,0.16125396297240538,0.1180306194592263,0.1489162596924923,0.42801250540027336,-0.1738452495380586,0.40990648845651123,-1.2123015527397745,0.2253969697321795,7256,0.005835674081024589,10,own_lags_only
ftse250,full,lag10,path,13,-0.04841646643473482,0.13467375638564755,0.7192141298943062,-0.31237702895060404,0.21554409608113437,0.08009051195598761,0.1591788248991279,0.6148602011989474,-0.2318999848463031,0.3920810087582783,-0.732297475019722,0.4639870201492322,7255,0.005821496213766819,10,own_lags_only
ftse250,full,lag10,path,14,-0.020369216069965296,0.14432252835080564,0.8877618929371441,-0.30324137163754433,0.2625029394976138,0.09356775563345097,0.16028205104601495,0.5593754730454672,-0.2205850644167383,0.4077205756836403,-0.6225019152163995,0.5336118848162201,7254,0.00595119296163249,10,own_lags_only
ftse250,full,lag10,path,15,-0.04117548509612626,0.16552919650627199,0.803553714242552,-0.36561271024841935,0.2832617400561668,0.06780470678211249,0.14999424975726836,0.6512338935321957,-0.2261840227421335,0.36179343630635846,-0.5586593082059294,0.5763942553783102,7253,0.0050163993351524105,10,own_lags_only
ftse250,full,lag10,path,16,0.001173460156026272,0.1448912493327091,0.9935380810772763,-0.28281338853608357,0.2851603088481361,0.10386670774680307,0.14812680049642146,0.48317738740841243,-0.186461821226183,0.3941952367197891,-0.5710602218841777,0.5679588214306925,7252,0.0038675059435570036,10,own_lags_only
ftse250,full,lag10,path,17,-0.01648654575675582,0.1349110886088756,0.9027382154134151,-0.280912279430152,0.24793918791664035,0.1980403263206114,0.1426418544726661,0.16502300951793436,-0.08153770844581418,0.4776183610870369,-1.3088146685184134,0.19059713694452918,7251,0.0034828347887519984,10,own_lags_only
ftse250,full,lag10,path,18,-0.08344060746246452,0.1543313447125452,0.5887427461043976,-0.3859300430990531,0.21904882817412408,0.17028065291210828,0.14344562370240557,0.2351982057520412,-0.11087276954460665,0.4514340753688232,-1.4624133784407158,0.14362796551377457,7250,0.003101459331005918,10,own_lags_only
ftse250,full,lag10,path,19,-0.050324847467847454,0.15581178151120748,0.7467067030651677,-0.3557159392298141,0.2550662442941192,0.16105666223742207,0.14000819759182354,0.25000494349334124,-0.11335940504255207,0.43547272951739624,-1.1685959047639036,0.24256647899031236,7249,0.0030806546787255362,10,own_lags_only
ftse250,full,lag10,path,20,-0.08799817901114122,0.1830218557640131,0.6306537150819589,-0.4467210163086069,0.27072465828632447,0.12414838254004458,0.14975809693062234,0.40710848730180826,-0.16937748744397518,0.4176742525240643,-1.061483490954198,0.28847023165174424,7248,0.0032175075424976107,10,own_lags_only
ftse250,full,lag10,qe,0,-0.004824564351238349,0.045869497304108886,0.916232796577745,-0.09472877906729177,0.08507965036481507,0.01112695955426892,0.038234228387080925,0.7710353351255204,-0.0638121280844097,0.08606604719294753,-0.30989355539999497,0.7566419037758314,4300,0.020436766014194196,10,own_lags_only
ftse250,full,lag10,qe,1,-0.013523726573596295,0.06944935912932562,0.8456059834503118,-0.14964447046707452,0.12259701731988193,0.06843033842435482,0.0756962047550717,0.36598861127628224,-0.0799342228955857,0.21679489974429533,-1.0268633377722833,0.30448481985957954,4299,0.015204635511600118,10,own_lags_only
ftse250,full,lag10,qe,2,-0.012251045788240227,0.08147423486387566,0.8804749832782145,-0.17194054612143653,0.14743845454495605,-0.033728795405375406,0.08586325073752758,0.694452489878943,-0.20202076685092946,0.13456317604017864,0.23777595651503855,0.812054867830197,4298,0.012776238346976831,10,own_lags_only
ftse250,full,lag10,qe,3,-0.007231189384010296,0.09366357068455838,0.9384613694005226,-0.1908117879257447,0.17634940915772412,0.036781287256442904,0.12498716763151807,0.7685435654787447,-0.20819356130133249,0.2817561358142183,-0.38554888300535567,0.6998307968868495,4297,0.009538566364795553,10,own_lags_only
